#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	22.347	RPS4B	YHR020W	13.261	15.398	-1.181	22.347	6.291	12.170	0.680	1.163		2.043				0.000									0.916		19.207	3.623	0.523			1.137	4.204	Complex
0.999	14.367	RVB2	RPB8	11.215	14.367	4.744	3.965	7.851	2.458	0.675	1.683	0.201	1.054	0.445				8.358	4.863	2.153			1.756		3.194	2.799		3.615	0.752	0.599			0.367	-1.194	Metabolic
0.809	8.354	SSL1	SSC1	8.354	6.530	3.034	6.354	2.106	4.974	-0.273	1.503		0.788				-0.744	-1.425	0.988	-0.704		0.270	-0.110		-0.131	0.429		6.979	1.245	0.510			-0.726		PPI
1.000	15.970	SSL1	RPT6	2.453	4.304	-1.886	15.970	2.066	12.014	0.680	2.331	0.089	-0.038		-0.468		-0.704	-0.505	0.931	0.126	-0.362	-0.114	-0.091		0.227	0.251		15.474	0.466	0.523			0.220		Complex
1.000	15.101	SKI2	RPP0	2.665	4.369	-6.500	15.101	2.018	12.058	0.000	1.163		0.221	0.075	0.000		-0.435	0.170	0.852	0.941	-0.322		-0.091		-0.308	0.704		14.599	0.003	-0.016			-0.416		Complex
0.997	12.723	RPL7A	GLN4	12.723	11.338	-4.858	6.649	6.731	2.032	-0.668	2.407		0.717	0.454			1.050	5.947	1.427	0.877	0.429	-0.094	0.126		1.475	-0.333	0.173	6.593	3.520	-0.172			1.670	1.232	PPI
0.999	13.470	SKI2	PAB1	2.588	4.176	-3.135	13.470	1.193	12.058	-0.278	1.163	-0.093	-0.301	-0.075		0.621	-0.818	-0.276	-1.056	-0.707	-0.141		-0.091		-0.093	-0.304		14.690	0.001	-0.201			-0.464		Complex
0.999	14.160	SKI2	RPL20A	2.940	4.896	-6.614	14.160	0.932	12.062	0.000	1.364		0.221	0.075		0.210	-0.704	-1.021	0.137	0.588	0.192		-0.091		0.314	-0.550		14.342	0.002				0.118		Complex
1.000	17.304	ATP1	CDC48	14.538	17.304	0.262	17.090	6.451	3.522	2.105	1.641	-0.108	0.957	-0.206			2.942	4.864	1.496	4.589	1.902		2.850		0.404	1.052	-0.346	10.548	0.115	0.177			-0.490		Metabolic
1.000	22.253	CDC48	RPS13	12.324	9.643	-1.800	22.253	1.597	13.469	0.680	4.009	-0.093	0.440	-0.075			2.225	4.353	1.011	-0.308			0.791		-0.228	-0.710	0.474	18.324	-0.493	-0.201			0.150		Complex
1.000	24.239	ATP1	RPL4A	13.874	15.083	-6.599	24.239	4.492	14.164	0.000	2.029	-0.093	1.220	-0.075			2.501	5.338	3.689	2.036	0.000	0.107	0.962		-0.014	-0.107	-0.206	17.621	-0.902	0.242			-0.439		Complex
1.000	24.849	RPL4B	TUB2	14.980	14.633	-5.204	24.849	1.982	15.138	-0.278	4.009	-0.093	1.806	-0.075			2.361	4.008	2.232	0.006	0.000	-0.249	0.791		0.004	-0.014	0.000	19.110	4.423	-0.016			-0.358	0.545	Complex
1.000	19.027	CDC48	RPS24B	7.998	12.067	-4.801	19.027	1.009	12.014	0.680	2.331	0.089	0.618	-0.075			2.361	2.075	1.546	0.029	-0.259		0.962		0.128	0.156		15.907	0.029	0.084			0.210		Complex
1.000	15.495	SKI2	RPL4A	3.687	5.289	-4.146	15.495	2.013	12.058	-0.278	1.163	0.089	0.221	0.075	0.379	0.210	-0.435	-0.282	0.641	0.198	0.000		-0.091		0.211	-0.101		14.947	0.493	-0.201			-0.416		Complex
0.977	10.670	AGX1	BAA09202	-0.501	-0.881	-6.559	10.670	-2.879	12.062		1.163		-0.142	-0.075			0.541	-1.896	-0.262	-1.225	-0.662	-0.105	-0.091		-0.454	-0.288	-0.206	13.354	1.256					-2.547	Complex
0.999	14.406	ATP1	RIO2	5.489	4.042	-2.251	14.406	1.798	12.020	-0.278	2.029		-0.269	-0.075			-0.818	0.088	-1.086	0.372	0.511	0.000	0.000		0.537	0.342	-0.206	14.213	-0.354	0.084			-0.427		Complex
1.000	33.703	RPS4B	RPS24B	31.332	33.703	8.614	26.095	10.446	6.495	3.320	2.401	0.175	5.497	0.169	1.305	0.819	3.076	10.173	2.222	1.926	1.720	3.372	2.552		0.902	5.459		22.275	11.140	0.599			5.662	8.361	Metabolic
1.000	14.663	ATP1	ARO8	4.209	4.823	-1.525	14.663	2.653	11.939	-0.278	0.601		0.528	-0.075			-0.704	-1.333	0.048	2.674	-0.589	0.196					0.000	13.288		-0.201	-0.606	-0.243			Complex
1.000	33.072	RPS4B	RPS13	32.053	33.072	10.069	26.387	11.385	6.495	3.320	3.031	0.175	5.285	-0.206	0.549		3.038	9.918	1.805	1.623		0.684	3.203		5.914	5.871	0.663	23.331	11.155	1.638			3.042	8.361	Metabolic
0.999	14.388	GLN4	RPS13	14.388	13.006	-0.922	5.963	8.569	2.032	-0.273	2.407		0.717	0.000			0.937	9.632	0.971	1.750		-0.353	-0.212		-0.166	0.296	0.760	6.969	3.529	-0.343			0.964	-0.383	PPI
1.000	23.367	TUB2	RPS24B	12.773	10.603	-1.360	23.367	1.085	14.978	-0.278	2.959	-0.093	1.870	-0.075			2.921	3.625	0.085	-0.795	-0.231	-0.303	1.664		-0.267	-0.539		16.641	4.577	-0.201			-0.129	0.520	Complex
0.986	11.152	RPL4B	RPB8	9.978	11.152	0.867	3.842	7.838	0.881	-0.764	2.401	-0.083	0.434	0.445			0.000	4.346	2.872	1.789		-0.509	-0.380		0.652	-0.857	2.268	6.800	0.653	0.177			1.365	-1.345	Metabolic
1.000	14.662	TUB2	RPL29	3.819	5.194	-0.220	14.662	0.822	12.162	-0.278	0.556	-0.093	1.492									-0.177			-0.364	-0.227		14.240	0.654	-0.201			-0.196	-0.399	Complex
1.000	14.578	SKI2	RPS4B	2.485	1.494	-4.638	14.578	1.557	12.058	0.000	1.163	0.089	0.221	-0.075			-0.435	-1.036	-0.238	0.028	0.138		-0.091		0.417	-0.101		14.342	0.428	-0.201			-0.274		Complex
1.000	21.940	RVB2	HSP60	10.683	10.178	2.002	21.940	4.237	14.018	0.000	2.029	-0.093	0.221	-0.075			1.604	5.736	2.966	1.870			0.000		0.100	1.224		13.881	0.687	-0.201			0.368		Complex
0.934	9.557	RIO2	RPS24A	9.557	7.095	-0.069	7.068	2.743	4.979	-0.668	3.103		0.199	0.000			-0.798	-0.278	-0.437	1.085	0.625	0.808	0.000		0.213	-0.492		7.528	1.322	0.141			0.964	1.739	PPI
0.966	10.265	RIO2	RPL30	10.265	7.253	-1.156	8.915	2.471	4.979	-0.668	3.103		1.179	0.000			-0.798	0.585	-0.283	1.523	-0.290		-0.212		0.803	-0.941	0.173	8.316	-0.401	-0.172			0.408	2.148	PPI
0.999	14.336	RPL4B	KIN28	3.746	5.384	-6.210	14.336	1.768	12.014	-0.278	1.163	-0.093	-0.373	-0.075		0.210		1.092	-0.456	0.118	0.000	0.991	-0.091		-0.267	-0.331	-0.206	13.103	0.106	0.242				0.556	Complex
0.958	10.032	TSC13	TUB1	10.032	6.677	-2.106	10.024	2.464	5.492	-0.668	2.407		1.002	-0.109			-0.555	0.144	-0.631	1.161	-0.158	-0.423	-1.000		0.672	-0.662	0.173	8.359	2.334	0.510			-0.595	-0.801	PPI
1.000	22.809	RVB2	RPL27A	11.239	10.160	-5.169	22.809	5.090	13.262	0.000	2.331	-0.093	0.690	-0.075			1.604	4.686	1.620	2.201	0.000		0.000		0.211	0.107		16.952	0.301	-0.016			1.930	4.573	Complex
0.986	11.143	RVB2	RAD59	0.919	-0.194	-0.900	11.143	-0.301	12.190	-0.278	-0.198		-0.269															11.143							Complex
0.981	10.864	GLN4	RPS24B	10.864	9.364	-1.662	5.370	5.933	0.840	-0.668	2.407		0.717	0.454			1.181	6.828	1.568	1.776	-0.198	-0.198	0.000		0.376	0.870		3.687	2.558	-0.343			0.986	3.175	PPI
0.999	13.729	RPL4B	PRE9	12.049	13.729	-2.667	6.118	6.191	1.147	-0.218	2.401	-0.251	1.975	-0.206			2.692	6.116	5.326	4.560		0.896	-0.652		0.178	2.345		2.877	1.403	-1.004			1.010	-0.229	Metabolic
1.000	24.035	RPP0	TEF1	24.035	22.644	0.378	22.646	7.263	8.389	0.602	3.906		1.474	0.000			2.401	3.875	4.087	0.835	0.168	0.688	1.484		-0.080	1.448	-0.281	17.450	1.983				2.054	5.096	PPI
1.000	18.355	ATP1	RPS24B	7.388	7.541	-5.636	18.355	0.370	13.469	0.000	1.163	0.089	0.528	-0.075			2.811	3.919	0.218	-0.683	-0.282	0.196	1.664		-0.085	0.057		14.387	-0.889	-0.201			-0.416		Complex
0.994	12.009	RPL7A	RAD4	0.347	-0.681	-6.581	12.009	0.319	12.025	-0.278	0.360		0.364	-0.075			-0.704	-0.965	0.038	0.833	0.083	-0.185	0.000			-0.763	0.000	12.114	-0.789	0.100					Complex
1.000	25.455	TUB2	TEF1	13.560	12.887	-0.817	25.455	2.038	16.772	0.000	4.009	-0.093	0.443	-0.075			2.361	4.287	2.321	-0.899	-0.396	-0.203	0.962		2.671	-0.372	-0.265	18.777	2.939				-0.119	-0.292	Complex
1.000	15.429	RPP0	TRP5	1.243	3.482	0.028	15.429	1.384	12.170	-0.278	1.298		0.855				0.000											15.576	-0.496	0.242				-0.455	Complex
1.000	15.026	SSC1	PRP28	2.776	3.359	-2.762	15.026	1.468	12.056	-0.278	2.029	0.089	-0.621	-0.075			0.359	0.304	-0.885	-0.645			0.080		-0.163	0.607		12.585	0.875	-0.185			-0.393	1.136	Complex
1.000	22.498	ATP1	RPL7A	10.467	11.095	-2.397	22.498	2.159	14.367	0.000	2.029	0.089	1.220	-0.075			2.709	4.407	2.990	0.582	0.202	0.196	1.836		-0.433	0.330	-0.206	16.141	-0.800	-0.201			-0.439		Complex
1.000	29.779	RPL4B	TEF2	21.240	22.681	0.827	29.779	6.102	15.319	0.000	4.009	-0.093	2.155	-0.075			2.361	4.130	6.359	0.841	0.000	0.618	0.962		-0.260	0.705	0.283	21.822	5.541				1.263	4.588	Complex
1.000	21.398	ATP1	RPS13	11.649	12.509	-2.845	21.398	2.686	13.469	0.293	1.163	0.089	1.065	-0.075			2.709	4.693	-0.086	-0.669		0.196	1.664		-0.386	0.769	-0.206	16.630	-0.858	-0.201			-0.284		Complex
1.000	26.322	RPL7A	KRS1	15.683	19.022	-4.360	26.322	6.367	13.796	-0.278	2.850	0.089	1.220	0.075			2.202	5.254	2.541	0.957	-0.282	0.217			0.496	0.965	0.474	19.512	3.768	0.242			0.622	5.141	Complex
1.000	14.609	TUB2	TRP5	1.125	2.082	0.551	14.609	1.104	12.170	-0.278	1.298		0.650				-0.335											15.373	-1.142	0.242				-0.502	Complex
0.980	10.818	RPP0	SPC3	4.569	8.593	-0.548	10.818	1.562	5.784	-0.278	1.163		1.710	-0.075			0.953	1.441	-0.635	-0.953	-0.251	0.672	0.080		-0.262	0.633		9.254	0.925	-0.185			0.150		Complex
1.000	20.898	RPL7A	VMA2	7.084	7.324	-5.534	20.898	2.158	14.329	-0.278	4.009	-0.093	-0.169	-0.075			1.017	1.761	1.961	-0.905	-0.719		0.000		-0.446	-0.541	0.474	17.797	-0.717	-0.016			0.622	0.805	Complex
1.000	25.062	RPP0	KRS1	13.405	16.165	-1.239	25.062	6.439	12.538	-0.278	2.850		1.220	0.075			2.218	5.597	4.733	3.218	0.604	1.686			0.346	1.042	-0.206	19.530	3.783	0.523			1.930	5.025	Complex
0.999	14.055	RPL7A	TRP5	0.655	0.774	-1.973	14.055	0.876	12.170	-0.278	1.298		0.324				-0.335											14.556	-0.626	-0.016				-0.455	Complex
0.924	9.411	ATP1	GLN4	8.610	9.411	-4.949	2.917	6.982	0.328	-0.764	1.641	0.175	0.130	0.169			0.749	6.004	0.243	2.273	1.541	2.937	0.864		1.616	-0.885	-0.346	1.511	1.270	-0.344		1.627	-1.196		Metabolic
1.000	24.383	RPL4B	YHR020W	14.970	18.710	-2.078	24.383	6.994	14.065	0.680	1.163		0.553				0.927									0.964		18.140	8.798	0.958			1.009	4.684	Complex
1.000	29.733	RPL7A	TEF1	20.478	19.855	-2.711	29.733	5.862	15.319	0.680	4.009	-0.093	0.958	0.075			2.921	4.828	4.017	-0.283	0.590	0.546	1.836		0.051	0.696	-0.206	21.024	4.779				1.930	4.253	Complex
1.000	25.411	HSP60	PRE9	10.780	12.998	-2.700	25.411	5.253	15.375	-0.278	2.029	-0.093	0.246	0.381			2.499	6.267	7.773	1.888		0.607	0.080		2.182	0.929		14.916	0.850	-0.016			0.347		Complex
1.000	16.398	SSL1	RPL20A	6.093	6.851	-1.634	16.398	2.351	12.015	-0.278	2.331		0.683				-0.704	-1.054	0.041	1.357	0.061	0.102	0.000		0.613	0.113		14.356	1.667				1.016		Complex
1.000	19.863	TEF2	PRE9	7.211	8.994	-3.415	19.863	1.441	14.357	-0.278	2.331	-0.093	-0.038	-0.075			2.218	2.917	3.903	-0.673		0.187	-0.091		0.007	0.547	-0.059	14.340	1.269				-0.211	0.148	Complex
1.000	16.375	SSL1	RPL4A	6.185	7.853	-1.388	16.375	2.396	12.014	-0.278	2.331	0.089	0.528				-0.704	-0.646	0.215	0.980	0.000	0.102	-0.206		0.518	-0.375		14.145	1.876	-0.201			1.284		Complex
0.999	13.741	HSP60	TEF2	10.301	9.988	1.086	13.741	-0.188	8.500	0.000	2.850	-0.995	1.288	-0.075			2.361	3.337	3.022	1.694		0.187	1.069		-1.412	-0.295		9.261	1.550				0.622		Complex
0.988	11.279	AGX1	SSC1	-1.587	-0.239	-6.553	11.279	-2.646	12.062	0.000	1.163		0.158	0.000			0.541	-1.871	0.334	-0.686		0.000	-0.091		-0.101	-0.552		13.096	0.069		-0.357			-2.547	Complex
0.999	14.075	YHR020W	VMA2	1.750	1.262	-2.538	14.075	1.310	12.170	-0.278	1.163		0.046				-0.335									0.550		14.345	0.128	-0.016			0.368	-0.244	Complex
